Country Name,Country Code,Series,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Andorra,AND,Government expenditure on tertiary education as % of GDP (%),UIS.XGDP.56.FSGOV,..,..,0.11423,..,0.07665,0.06387,0.14879,0.09538,..,0.11309,0.11494,0.11472,..,0.115,0.18677,0.17959,0.19083,0.18258,0.18315,0.13299,..,..,..,..,..
Andorra,AND,Government expenditure on primary education as % of GDP (%),UIS.XGDP.1.FSGOV,..,..,0.45043,..,0.45204,0.39703,0.53343,0.53966,..,0.82886,0.86011,0.86053,..,0.80558,0.68524,0.72416,0.69609,0.7093,0.69546,0.67913,..,..,..,..,..
Angola,AGO,"Human Capital Index (HCI): Expected Years of School, Male",HD.HCI.EYRS.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.69,..,..,..,..,..,..,..
Angola,AGO,"Human Capital Index (HCI): Expected Years of School, Female",HD.HCI.EYRS.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.07,..,..,..,..,..,..,..
Angola,AGO,"Human Capital Index (HCI): Expected Years of School, Total",HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.89,..,..,..,..,..,..,..
Angola,AGO,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,..,..,1.17067,0.96789,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Government expenditure on tertiary education as % of GDP (%),UIS.XGDP.56.FSGOV,..,..,..,..,..,0.17562,0.19851,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Government expenditure on primary education as % of GDP (%),UIS.XGDP.1.FSGOV,..,..,..,..,..,0.77381,0.71714,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Human Capital Index (HCI): Expected Years of School, Male",HD.HCI.EYRS.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Human Capital Index (HCI): Expected Years of School, Female",HD.HCI.EYRS.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Human Capital Index (HCI): Expected Years of School, Total",HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,Government expenditure on tertiary education as % of GDP (%),UIS.XGDP.56.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,Government expenditure on primary education as % of GDP (%),UIS.XGDP.1.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Human Capital Index (HCI): Expected Years of School, Male",HD.HCI.EYRS.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Human Capital Index (HCI): Expected Years of School, Female",HD.HCI.EYRS.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Human Capital Index (HCI): Expected Years of School, Total",HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,1.19316,..,..,..,..,..,..,1.21816,..,0.93216,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Government expenditure on tertiary education as % of GDP (%),UIS.XGDP.56.FSGOV,..,..,0.22805,..,..,..,..,..,..,0.1851,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Government expenditure on primary education as % of GDP (%),UIS.XGDP.1.FSGOV,..,..,0.96912,..,..,..,..,..,..,1.0475,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Human Capital Index (HCI): Expected Years of School, Male",HD.HCI.EYRS.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Human Capital Index (HCI): Expected Years of School, Female",HD.HCI.EYRS.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Human Capital Index (HCI): Expected Years of School, Total",HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Government expenditure on tertiary education as % of GDP (%),UIS.XGDP.56.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Government expenditure on primary education as % of GDP (%),UIS.XGDP.1.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Human Capital Index (HCI): Expected Years of School, Male",HD.HCI.EYRS.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.83,..,..,..,..,..,..,..
Argentina,ARG,"Human Capital Index (HCI): Expected Years of School, Female",HD.HCI.EYRS.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.32,..,..,..,..,..,..,..
Argentina,ARG,"Human Capital Index (HCI): Expected Years of School, Total",HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.07,..,..,..,..,..,..,..
Argentina,ARG,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.63532,1.77038,1.57648,1.31716,1.31787,1.60912,1.65216,1.75137,1.8987,2.25518,1.99031,2.14122,2.16177,2.25767,2.22378,2.38742,2.27011,2.15973,..,..,..,..,..,..,..
Argentina,ARG,Government expenditure on tertiary education as % of GDP (%),UIS.XGDP.56.FSGOV,0.83064,0.82812,0.70274,0.57222,0.59985,0.62694,0.73293,0.7921,0.85554,1.04263,0.99682,1.02811,1.06599,1.10008,1.09395,1.18616,1.12948,1.20608,..,..,..,..,..,..,..
Argentina,ARG,Government expenditure on primary education as % of GDP (%),UIS.XGDP.1.FSGOV,1.63477,1.8329,1.4235,1.34384,1.27939,1.31996,1.44662,1.58313,1.70103,1.81433,1.65926,1.69134,1.69991,1.63274,1.61167,1.73522,1.66775,1.61653,..,..,..,..,..,..,..
Armenia,ARM,"Human Capital Index (HCI): Expected Years of School, Male",HD.HCI.EYRS.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.92,..,..,..,..,..,..,..
Armenia,ARM,"Human Capital Index (HCI): Expected Years of School, Female",HD.HCI.EYRS.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.27,..,..,..,..,..,..,..
Armenia,ARM,"Human Capital Index (HCI): Expected Years of School, Total",HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.09,..,..,..,..,..,..,..
Armenia,ARM,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,1.40429,1.29543,1.22389,..,1.40869,1.26913,..,..,..,..,..,..,..
Armenia,ARM,Government expenditure on tertiary education as % of GDP (%),UIS.XGDP.56.FSGOV,..,..,..,..,..,..,..,..,0.35828,0.35954,0.37864,0.355,0.26317,0.27344,0.30613,0.35604,0.36363,0.35178,..,..,..,..,..,..,..
Armenia,ARM,Government expenditure on primary education as % of GDP (%),UIS.XGDP.1.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,0.51784,0.53297,..,0.5432,0.56999,0.52456,..,..,..,..,..,..,..
Aruba,ABW,"Human Capital Index (HCI): Expected Years of School, Male",HD.HCI.EYRS.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Human Capital Index (HCI): Expected Years of School, Female",HD.HCI.EYRS.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Human Capital Index (HCI): Expected Years of School, Total",HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.30588,1.40067,1.3792,..,1.25291,1.25311,..,..,..,..,..,..,2.0498,2.04735,2.0332,1.83316,1.83654,..,..,..,..,..,..,..,..
Aruba,ABW,Government expenditure on tertiary education as % of GDP (%),UIS.XGDP.56.FSGOV,0.49905,0.57648,0.58296,..,0.48366,0.53766,..,..,..,..,..,..,1.35716,1.40989,1.18231,1.4998,1.01598,..,..,..,..,..,..,..,..
Aruba,ABW,Government expenditure on primary education as % of GDP (%),UIS.XGDP.1.FSGOV,1.33183,1.2387,1.42777,..,1.17725,1.25142,..,..,..,..,..,..,1.59322,1.57674,1.54815,1.42467,1.52057,..,..,..,..,..,..,..,..
Australia,AUS,"Human Capital Index (HCI): Expected Years of School, Male",HD.HCI.EYRS.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.76,..,..,..,..,..,..,..
Australia,AUS,"Human Capital Index (HCI): Expected Years of School, Female",HD.HCI.EYRS.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.78,..,..,..,..,..,..,..
Australia,AUS,"Human Capital Index (HCI): Expected Years of School, Total",HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.77,..,..,..,..,..,..,..
Australia,AUS,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.88761,..,..,..,..,1.94999,1.88109,1.81477,1.79093,1.92151,2.04181,1.85683,1.71688,1.72921,1.67142,1.62129,1.65038,1.65504,..,..,..,..,..,..,..
Australia,AUS,Government expenditure on tertiary education as % of GDP (%),UIS.XGDP.56.FSGOV,1.14558,..,..,..,..,1.08984,1.0441,1.04879,1.04158,1.12461,1.23637,1.17738,1.15291,1.35703,1.37066,1.53259,1.41548,1.28691,..,..,..,..,..,..,..
Australia,AUS,Government expenditure on primary education as % of GDP (%),UIS.XGDP.1.FSGOV,1.66642,..,..,..,..,1.70017,1.66106,1.63789,1.64284,1.82903,2.04281,1.82539,1.6623,1.71633,1.68503,1.68815,1.74087,1.70396,..,..,..,..,..,..,..
Austria,AUT,"Human Capital Index (HCI): Expected Years of School, Male",HD.HCI.EYRS.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.94,..,..,..,..,..,..,..
Austria,AUT,"Human Capital Index (HCI): Expected Years of School, Female",HD.HCI.EYRS.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.79,..,..,..,..,..,..,..
Austria,AUT,"Human Capital Index (HCI): Expected Years of School, Total",HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.89,..,..,..,..,..,..,..
Austria,AUT,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,2.53807,2.52049,2.52452,2.62403,2.50697,2.41142,2.43448,2.38221,2.43603,2.67796,2.52872,2.53676,2.25885,2.28574,2.19886,2.17594,2.17336,2.1145,..,..,..,..,..,..,..
Austria,AUT,Government expenditure on tertiary education as % of GDP (%),UIS.XGDP.56.FSGOV,1.39774,1.31814,1.24641,1.26109,1.38506,1.43217,1.41962,1.42845,1.43151,1.5011,1.57986,1.50186,1.8252,1.79382,1.7714,1.78068,1.78179,1.70741,..,..,..,..,..,..,..
Austria,AUT,Government expenditure on primary education as % of GDP (%),UIS.XGDP.1.FSGOV,1.10087,1.095,1.09333,1.05752,1.00485,0.99713,0.97049,0.92799,0.93908,0.99864,0.97665,0.956,0.84894,0.90431,0.88778,0.90404,0.91041,0.90578,..,..,..,..,..,..,..
Azerbaijan,AZE,"Human Capital Index (HCI): Expected Years of School, Male",HD.HCI.EYRS.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Human Capital Index (HCI): Expected Years of School, Female",HD.HCI.EYRS.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Human Capital Index (HCI): Expected Years of School, Total",HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.58,..,..,..,..,..,..,..
Azerbaijan,AZE,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,Government expenditure on tertiary education as % of GDP (%),UIS.XGDP.56.FSGOV,0.23145,0.21062,0.1836,0.18334,0.22121,0.20661,0.17895,0.20261,0.27673,0.45025,0.39037,0.35624,..,..,..,0.37829,0.49598,0.40576,0.44977,..,..,..,..,..,..
Azerbaijan,AZE,Government expenditure on primary education as % of GDP (%),UIS.XGDP.1.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Human Capital Index (HCI): Expected Years of School, Male",HD.HCI.EYRS.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Human Capital Index (HCI): Expected Years of School, Female",HD.HCI.EYRS.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Human Capital Index (HCI): Expected Years of School, Total",HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Government expenditure on tertiary education as % of GDP (%),UIS.XGDP.56.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Government expenditure on primary education as % of GDP (%),UIS.XGDP.1.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Human Capital Index (HCI): Expected Years of School, Male",HD.HCI.EYRS.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.16,..,..,..,..,..,..,..
Bahrain,BHR,"Human Capital Index (HCI): Expected Years of School, Female",HD.HCI.EYRS.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.41,..,..,..,..,..,..,..
Bahrain,BHR,"Human Capital Index (HCI): Expected Years of School, Total",HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.28,..,..,..,..,..,..,..
Bahrain,BHR,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,1.07504,1.06265,1.17995,..,..,..,..,..,..,..,..,..
Bahrain,BHR,Government expenditure on tertiary education as % of GDP (%),UIS.XGDP.56.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,0.60448,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,Government expenditure on primary education as % of GDP (%),UIS.XGDP.1.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,0.79438,0.80186,0.88012,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,"Human Capital Index (HCI): Expected Years of School, Male",HD.HCI.EYRS.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.66,..,..,..,..,..,..,..
Bangladesh,BGD,"Human Capital Index (HCI): Expected Years of School, Female",HD.HCI.EYRS.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.33,..,..,..,..,..,..,..
Bangladesh,BGD,"Human Capital Index (HCI): Expected Years of School, Total",HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.03,..,..,..,..,..,..,..
Bangladesh,BGD,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,0.76727,..,0.88262,0.94078,0.9404,..,0.92546,0.89811,0.81344,0.77976,0.97565,0.8775,0.8506,..,..,..,0.98778,..,..,0.83613,..,..,..,..,..
Bangladesh,BGD,Government expenditure on tertiary education as % of GDP (%),UIS.XGDP.56.FSGOV,0.21496,0.21948,0.22469,0.18853,0.22393,..,0.27553,0.25254,0.27254,0.26185,0.26036,0.21953,0.32053,..,..,..,0.51099,..,..,0.45645,..,..,..,..,..
Bangladesh,BGD,Government expenditure on primary education as % of GDP (%),UIS.XGDP.1.FSGOV,0.98796,..,0.90984,0.94008,0.77581,..,0.89422,1.01856,0.93061,0.86747,..,1.00529,0.97034,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,"Human Capital Index (HCI): Expected Years of School, Male",HD.HCI.EYRS.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,"Human Capital Index (HCI): Expected Years of School, Female",HD.HCI.EYRS.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,"Human Capital Index (HCI): Expected Years of School, Total",HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.67623,1.98696,1.99153,2.18645,1.95665,1.79704,..,1.69573,1.44574,1.48063,1.79437,..,1.57528,1.28005,1.38082,..,1.94623,..,..,..,..,..,..,..,..
Barbados,BRB,Government expenditure on tertiary education as % of GDP (%),UIS.XGDP.56.FSGOV,1.29409,1.75978,1.76023,1.78779,1.89765,1.79035,..,1.57533,1.48119,1.52989,1.96803,..,1.5905,1.90621,2.41297,..,1.53923,1.2462,..,..,..,..,..,..,..
Barbados,BRB,Government expenditure on primary education as % of GDP (%),UIS.XGDP.1.FSGOV,1.30384,1.77185,1.56197,1.67522,1.64731,1.58148,..,..,1.8143,..,..,..,..,..,..,..,1.46593,..,..,..,..,..,..,..,..
Belarus,BLR,"Human Capital Index (HCI): Expected Years of School, Male",HD.HCI.EYRS.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Human Capital Index (HCI): Expected Years of School, Female",HD.HCI.EYRS.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Human Capital Index (HCI): Expected Years of School, Total",HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.41949,..,..,..,..,..,..,..
Belarus,BLR,Government expenditure on tertiary education as % of GDP (%),UIS.XGDP.56.FSGOV,..,..,..,..,1.40971,1.49579,1.62343,1.04016,..,0.87702,0.89406,0.81028,0.88643,0.88082,0.81401,0.80221,0.79645,0.79014,..,..,..,..,..,..,..
Belarus,BLR,Government expenditure on primary education as % of GDP (%),UIS.XGDP.1.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,"Human Capital Index (HCI): Expected Years of School, Male",HD.HCI.EYRS.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.37,..,..,..,..,..,..,..
Belgium,BEL,"Human Capital Index (HCI): Expected Years of School, Female",HD.HCI.EYRS.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.45,..,..,..,..,..,..,..
Belgium,BEL,"Human Capital Index (HCI): Expected Years of School, Total",HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.41,..,..,..,..,..,..,..
Belgium,BEL,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,2.79354,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,Government expenditure on tertiary education as % of GDP (%),UIS.XGDP.56.FSGOV,..,..,..,..,..,1.25753,..,..,1.34992,1.44829,1.42822,1.41486,..,1.44836,1.4826,1.42765,1.43948,1.45121,..,..,..,..,..,..,..
